gps_time,x,y,z,ve(m/s),vn(m/s),vu(m/s),roll(rad),pitch(rad),yaw(rad)
2024-12-27-07-45-19-277,11844979.692577,3497256.339139,60.737202,0.986700,0.001000,0.004900,0.016840,0.002364,1.627866
2024-12-27-07-45-19-285,11844979.701259,3497256.339249,60.737202,0.985100,-0.000700,0.002800,0.016893,0.002351,1.627862
2024-12-27-07-45-19-293,11844979.709948,3497256.339362,60.737202,0.985000,-0.000800,0.001500,0.016886,0.002319,1.627871
2024-12-27-07-45-19-301,11844979.718630,3497256.339481,60.737202,0.984500,0.000100,0.002700,0.016946,0.002359,1.627893
2024-12-27-07-45-19-309,11844979.727302,3497256.339594,60.737202,0.983400,0.000200,0.002200,0.017007,0.002390,1.627883
2024-12-27-07-45-19-317,11844979.735983,3497256.339701,60.737099,0.983900,-0.000600,0.000300,0.017029,0.002409,1.627904
2024-12-27-07-45-19-334,11844979.753338,3497256.339873,60.737000,0.984100,-0.004700,-0.005300,0.017034,0.002431,1.627933
2024-12-27-07-45-19-342,11844979.762024,3497256.339932,60.736900,0.985000,-0.007500,-0.009500,0.016991,0.002414,1.627934
2024-12-27-07-45-19-350,11844979.770701,3497256.339974,60.736900,0.984500,-0.010400,-0.007400,0.016960,0.002426,1.627949
2024-12-27-07-45-19-358,11844979.779365,3497256.339999,60.736801,0.983100,-0.012800,-0.006100,0.016918,0.002399,1.627951
2024-12-27-07-45-19-366,11844979.788024,3497256.340016,60.736801,0.982000,-0.014400,-0.000300,0.016902,0.002385,1.627952
2024-12-27-07-45-19-382,11844979.805317,3497256.340021,60.736801,0.979900,-0.016300,0.005700,0.016970,0.002421,1.627934
2024-12-27-07-45-19-390,11844979.813962,3497256.340005,60.736801,0.979800,-0.018100,-0.000900,0.017007,0.002420,1.627927
2024-12-27-07-45-19-398,11844979.822605,3497256.339977,60.736698,0.979900,-0.019600,-0.002100,0.016998,0.002399,1.627912
2024-12-27-07-45-19-406,11844979.831256,3497256.339936,60.736698,0.980700,-0.021600,-0.004700,0.016981,0.002408,1.627914
2024-12-27-07-45-19-414,11844979.839901,3497256.339880,60.736698,0.980700,-0.023700,-0.002900,0.016976,0.002399,1.627924
2024-12-27-07-45-19-422,11844979.848550,3497256.339805,60.736599,0.980900,-0.026100,-0.002100,0.016973,0.002410,1.627909
2024-12-27-07-45-19-430,11844979.857187,3497256.339718,60.736599,0.980000,-0.028100,0.001000,0.016965,0.002411,1.627883
2024-12-27-07-45-19-438,11844979.865827,3497256.339625,60.736599,0.979800,-0.029300,0.000400,0.017003,0.002424,1.627876
2024-12-27-07-45-19-446,11844979.874451,3497256.339519,60.736599,0.978400,-0.030700,0.002000,0.017013,0.002412,1.627865
2024-12-27-07-45-19-454,11844979.883074,3497256.339401,60.736599,0.977700,-0.032100,0.001900,0.017034,0.002406,1.627838
2024-12-27-07-45-19-462,11844979.891694,3497256.339287,60.736599,0.977300,-0.032100,0.003600,0.017074,0.002410,1.627823
2024-12-27-07-45-19-470,11844979.900305,3497256.339161,60.736599,0.976500,-0.032900,0.003600,0.017102,0.002414,1.627800
2024-12-27-07-45-19-478,11844979.908922,3497256.339027,60.736599,0.976800,-0.033900,0.001900,0.017137,0.002435,1.627778
2024-12-27-07-45-19-486,11844979.917546,3497256.338884,60.736599,0.977800,-0.035100,-0.000700,0.017122,0.002409,1.627766
2024-12-27-07-45-19-494,11844979.926180,3497256.338729,60.736500,0.979200,-0.036800,-0.002700,0.017135,0.002414,1.627734
2024-12-27-07-45-19-502,11844979.934794,3497256.338553,60.736500,0.978000,-0.039500,-0.003800,0.017106,0.002413,1.627724
2024-12-27-07-45-19-510,11844979.943405,3497256.338357,60.736500,0.977000,-0.042600,-0.003200,0.017087,0.002390,1.627696
2024-12-27-07-45-19-518,11844979.952020,3497256.338148,60.736500,0.976800,-0.044900,0.000800,0.017077,0.002396,1.627651
2024-12-27-07-45-19-526,11844979.960624,3497256.337935,60.736500,0.976000,-0.045900,0.003800,0.017078,0.002382,1.627620
2024-12-27-07-45-19-534,11844979.969209,3497256.337718,60.736500,0.973900,-0.046200,0.008600,0.017104,0.002378,1.627587
2024-12-27-07-45-19-542,11844979.977803,3497256.337497,60.736500,0.974000,-0.046200,0.006600,0.017143,0.002386,1.627535
2024-12-27-07-45-19-550,11844979.986411,3497256.337274,60.736599,0.975600,-0.046300,0.007000,0.017162,0.002385,1.627506
2024-12-27-07-45-19-558,11844979.994998,3497256.337050,60.736599,0.974500,-0.046200,0.004700,0.017166,0.002358,1.627478
2024-12-27-07-45-19-566,11844980.003594,3497256.336819,60.736599,0.974900,-0.046800,0.006700,0.017179,0.002355,1.627446
2024-12-27-07-45-19-574,11844980.012199,3497256.336578,60.736599,0.975900,-0.048000,0.003900,0.017216,0.002355,1.627396
2024-12-27-07-45-19-582,11844980.020801,3497256.336329,60.736698,0.976100,-0.049400,0.004800,0.017238,0.002341,1.627345
2024-12-27-07-45-19-590,11844980.029391,3497256.336068,60.736698,0.975000,-0.051100,0.002600,0.017252,0.002350,1.627312
2024-12-27-07-45-19-598,11844980.037980,3497256.335797,60.736698,0.974300,-0.052700,0.002900,0.017260,0.002322,1.627268
2024-12-27-07-45-19-606,11844980.046574,3497256.335519,60.736698,0.974600,-0.053900,0.003900,0.017271,0.002323,1.627222
2024-12-27-07-45-19-614,11844980.055154,3497256.335235,60.736698,0.973500,-0.054700,0.003300,0.017318,0.002336,1.627170
2024-12-27-07-45-19-622,11844980.063726,3497256.334946,60.736698,0.972300,-0.055400,0.004200,0.017376,0.002355,1.627118
2024-12-27-07-45-19-630,11844980.072308,3497256.334650,60.736698,0.972800,-0.056000,0.001300,0.017419,0.002379,1.627056
2024-12-27-07-45-19-638,11844980.080894,3497256.334351,60.736599,0.973700,-0.056500,-0.003500,0.017429,0.002377,1.627007
2024-12-27-07-45-19-646,11844980.089487,3497256.334046,60.736599,0.974700,-0.057000,-0.006400,0.017414,0.002391,1.626957
2024-12-27-07-45-19-654,11844980.098084,3497256.333734,60.736500,0.975500,-0.057900,-0.010400,0.017394,0.002389,1.626909
2024-12-27-07-45-19-662,11844980.106687,3497256.333416,60.736401,0.976400,-0.058800,-0.010800,0.017331,0.002385,1.626852
2024-12-27-07-45-19-670,11844980.115272,3497256.333094,60.736301,0.975000,-0.059400,-0.010600,0.017307,0.002359,1.626804
2024-12-27-07-45-19-678,11844980.123852,3497256.332770,60.736301,0.973600,-0.059900,-0.006000,0.017302,0.002363,1.626757
2024-12-27-07-45-19-686,11844980.132434,3497256.332441,60.736198,0.973200,-0.060300,-0.004600,0.017328,0.002403,1.626695
